Node,Clade,Genus,First occurrence lower bound (Ma),First occurence upper bound (Ma),Calibration type,reference,Genus,Next occurrence lower bound (Ma),Next occurence upper bound (Ma),Calibration type,reference,note
MRCA Navicula spp,navicula,Navicula,35,32,crown,Edwards 1991 (Oamaru),,,,,,
MRCA Geissleria + Gomphonema,cymbelloid,Encyonema,23,11,crown,"Zalat, 2018",,,,,,
MRCA Geissleria + Gomphonema,cymbelloid,Cymbella,28,23,crown,"Aleksandrova et al., 2017",,,,,,
MRCA Geissleria + Gomphonema,cymbelloid,Placoneis,28,23,crown,"Oreshkina et al., 2020",,,,,,
MRCA Geissleria + Gomphonema,cymbelloid,Gomphonema,38,34,crown,"Benson et al., 2012",,,,,,
MRCA Diploneis + Sellaphora,sellaphorids,Pinnularia,35,32,crown,Edwards 1991 (Oamaru),,,,,,
MRCA Diploneis + Sellaphora,sellaphorids,Diploneis,37,34,crown,"Droop, 1998",,,,,,
MRCA Diploneis + Sellaphora,sellaphorids,Sellaphora,10,5,crown,"Ognjanova-Rumoenova and Vass, 1988",,,,,,
MRCA Iconella + Protokeelia,surirelloids,Campylodiscus,10,5,crown,"Ognjanova-Rumoenova and Vass, 1988",,,,,,
MRCA Iconella + Protokeelia,surirelloids,Epthemia,10,5,crown,"Ognjanova-Rumoenova and Vass, 1988",,,,,,
MRCA Iconella + Protokeelia,surirelloids,Surirella,23,11,crown,"Zalat, 2018",,,,,,
MRCA Stauroneis + Craticula,stauroneids,Stauroneis,10,5,crown,"Ognjanova-Rumoenova and Vass, 1988",,,,,,
MRCA Stauroneis + Craticula,stauroneids,Frustulia,38,34,crown,"Benson et al., 2012",,,,,,
MRCA Bacillaria + Pseudo-nitzschia,bacillariales,Hantzschia,10,5,crown,"Ognjanova-Rumoenova and Vass, 1988",,,,,,
Lyrella,lyrella,Lyrella -- not on tree. very old. reliable?,56,56,crown,"Oreshkina and Radionova, 2014",,,,,,
MRCA Amblyamphora + Oxyamphora,amlyamphora,Amblyamphora,35,32,crown,Edwards 1991 (Oamaru),,,,,,
